#START7777
#--------------------------------------------------------------------------------------------------
# FLAG의 자리별 Y인 경우 의미 (왼쪽부터)
#   1 : 지상
#   2 : 표준등압면
#   3 : 온도유의고도
#   4 : 바람유의고도
#   5 : 권계면
#   6 : 최대풍
#   7 : 61616
#   8 : 52525
#   9 : TTAA
#  10 : TTBB
#  11 : TTCC
#  12 : TTDD
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN      PA      GH      TA      TD      WD      WS FLAG
#        UTC    ID     hPa       m       C       C  degree     m/s 123456789012
201806210000 47138    62.9  -999.0   -57.3   -78.3  -999.0  -999.0 001000000001
201806210000 47138    59.8  -999.0  -999.0  -999.0   285.0     1.5 000100000001
201806210000 47138    56.6  -999.0  -999.0  -999.0   200.0     8.2 000100000001
201806210000 47138    53.3  -999.0  -999.0  -999.0   185.0     3.6 000100000001
201806210000 47155  1002.0  -999.0    24.2    17.2   305.0     1.0 101000001100
201806210000 47155  1000.0    57.0    22.6    17.6     0.0     0.0 011000001100
201806210000 47155   990.0  -999.0    22.0    16.0  -999.0  -999.0 001000000100
201806210000 47155   987.0  -999.0    23.0    13.0  -999.0  -999.0 001000000100
201806210000 47155   938.0  -999.0    20.8     6.8  -999.0  -999.0 001000000100
201806210000 47155   925.0   733.0    19.8     6.8   320.0     6.2 010000001000
201806210000 47155   913.0  -999.0  -999.0  -999.0   320.0     8.7 000100000100
201806210000 47155   900.0  -999.0  -999.0  -999.0   320.0     7.7 000000100100
